Position0	<0.0mm>
Chord0	<1400.0493033426073mm>
Twist0	<13.803163611446866deg>
t_over_c0	<0.2340633618856801>
SparThickness0	<0.29093415193782307mm>
SkinThickness0	<4.398573968984446mm>
Position1	<-4496.417596868585mm>
Chord1	<1260.0520381450262mm>
Twist1	<15.535821993083385deg>
t_over_c1	<0.21398690566881517>
SparThickness1	<0.2946626783398177mm>
SkinThickness1	<4.175799475258294mm>
Position2	<-8992.831639449641mm>
Chord2	<1120.0548836112175mm>
Twist2	<16.527098293246294deg>
t_over_c2	<0.19854174841270045>
SparThickness2	<0.2972748460446602mm>
SkinThickness2	<3.844493983501305mm>
Position3	<-13489.286784552589mm>
Chord3	<980.056449338476mm>
Twist3	<16.59716846456075deg>
t_over_c3	<0.18643462100672348>
SparThickness3	<0.2989767437646309mm>
SkinThickness3	<3.4419340222900763mm>
Position4	<-17985.892389324952mm>
Chord4	<840.0533304603151mm>
Twist4	<15.566208459651893deg>
t_over_c4	<0.17637225434027204>
SparThickness4	<0.2999744602120101mm>
SkinThickness4	<3.005396120201207mm>
Position5	<-22482.653888284025mm>
Chord5	<700.0453577714644mm>
Twist5	<13.254394231144884deg>
t_over_c5	<0.16706137930273357>
SparThickness5	<0.3004740840990781mm>
SkinThickness5	<2.5721568058112934mm>
Position6	<-26979.48161605404mm>
Chord6	<560.0353230293879mm>
Twist6	<9.48190173166486deg>
t_over_c6	<0.15720872678349576>
SparThickness6	<0.30068170413811546mm>
SkinThickness6	<2.1794926076969343mm>
Position7	<-31476.273363933764mm>
Chord7	<420.02640853162444mm>
Twist7	<4.068906913836975deg>
t_over_c7	<0.13474943190061664>
SparThickness7	<0.2577254433929676mm>
SkinThickness7	<1.8681239694995568mm>
EnginePosition	<-11667.886947275736mm>
Span	<62953.29298903263mm>
Taper	<0.30000000000000004>
